Metric		Current
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_LESS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_LESS		239
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_XML		5
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_XML		143
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_SQL		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_SQL		113
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_BASH		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_BASH		71
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_ZSH		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_ZSH		47
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_JSX		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_JSX		25
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_FISH		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_FISH		19
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_ASC		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_ASC		15
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_YAML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_YAML		11
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_RB		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_RB		8
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_H		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_H		7
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		4,450
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		35
LINES_OF_CODE_CONCERN_GENERAL_TODOS		11,985
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS_EXT_PHP		33
LINES_OF_CODE_CONCERN_GENERAL_TODOS_EXT_PHP		7,372
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS_EXT_JS		2
LINES_OF_CODE_CONCERN_GENERAL_TODOS_EXT_JS		4,613
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		8,388
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		568,836
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_PHP		8,195
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_PHP		541,360
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_XSD		24
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_XSD		9,084
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		40
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		5,852
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_VUE		66
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_VUE		5,679
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		22
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		3,858
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_SCSS		12
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_SCSS		1,518
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		457
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TPL		11
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TPL		330
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_LESS		2
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_LESS		239
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_XML		5
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_XML		143
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		2
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		113
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_BASH		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_BASH		71
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_ZSH		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_ZSH		47
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		25
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_FISH		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_FISH		19
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_ASC		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_ASC		15
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_YAML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_YAML		11
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_RB		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_RB		8
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_H		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_H		7
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		7,235
LOW_RISK_FILE_SIZE_COUNT		697
MEDIUM_RISK_FILE_SIZE_COUNT		355
HIGH_RISK_FILE_SIZE_COUNT		82
VERY_HIGH_RISK_FILE_SIZE_COUNT		54
NEGLIGIBLE_RISK_FILE_SIZE_LOC		207,563
LOW_RISK_FILE_SIZE_LOC		96,207
MEDIUM_RISK_FILE_SIZE_LOC		103,043
HIGH_RISK_FILE_SIZE_LOC		56,303
VERY_HIGH_RISK_FILE_SIZE_LOC		117,705
NUMBER_OF_UNITS		36,983
LINES_OF_CODE_IN_UNITS		341,817
LINES_OF_CODE_OUTSIDE_UNITS		239,004
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		151,631
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		44.36
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		28,701
UNIT_SIZE_LOW_RISK_LOC		77,049
UNIT_SIZE_LOW_RISK_PERCENTAGE		22.54
UNIT_SIZE_LOW_RISK_COUNT		5,390
UNIT_SIZE_MEDIUM_RISK_LOC		71,668
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		20.97
UNIT_SIZE_MEDIUM_RISK_COUNT		2,454
UNIT_SIZE_HIGH_RISK_LOC		23,076
UNIT_SIZE_HIGH_RISK_PERCENTAGE		6.75
UNIT_SIZE_HIGH_RISK_COUNT		345
UNIT_SIZE_VERY_HIGH_RISK_LOC		18,393
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		5.38
UNIT_SIZE_VERY_HIGH_RISK_COUNT		93
UNIT_SIZE_COMPONENT_UNCLASSIFIED_NEGLIGIBLE_RISK_LOC		151,631
UNIT_SIZE_COMPONENT_UNCLASSIFIED_NEGLIGIBLE_RISK_PERCENTAGE		44.36
UNIT_SIZE_COMPONENT_UNCLASSIFIED_NEGLIGIBLE_RISK_COUNT		28,701
UNIT_SIZE_COMPONENT_UNCLASSIFIED_LOW_RISK_LOC		77,049
UNIT_SIZE_COMPONENT_UNCLASSIFIED_LOW_RISK_PERCENTAGE		22.54
UNIT_SIZE_COMPONENT_UNCLASSIFIED_LOW_RISK_COUNT		5,390
UNIT_SIZE_COMPONENT_UNCLASSIFIED_MEDIUM_RISK_LOC		71,668
UNIT_SIZE_COMPONENT_UNCLASSIFIED_MEDIUM_RISK_PERCENTAGE		20.97
