Metric		Current
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_RESOURCES_EXT_JS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_RESOURCES_EXT_JS		1
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROUTES		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROUTES		33
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROUTES_EXT_PHP		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROUTES_EXT_PHP		33
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_STORAGE		62
LINES_OF_CODE_DECOMPOSITION_PRIMARY_STORAGE		4,967
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_STORAGE_EXT_PHP		62
LINES_OF_CODE_DECOMPOSITION_PRIMARY_STORAGE_EXT_PHP		4,967
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		4
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		1
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		2
LINES_OF_CODE_CONCERN_GENERAL_TODOS		4,613
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS_EXT_JS		2
LINES_OF_CODE_CONCERN_GENERAL_TODOS_EXT_JS		4,613
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		166
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		15,213
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_PHP		135
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_PHP		8,146
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		8
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		3,251
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		12
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		2,653
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		457
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_SCSS		5
